	dbpedia	PRoV	desc	1.0562306876712735
	dsfaces	GFoV	desc	2.021196244447081
top10	dsfaces	GFoV	gold	2.1446022727272727	1.0610559358692806
top10	dsfaces	GFoV	relin	1.09	0.5392845959389663
top10	dsfaces	GFoV	diversum	2.2540000000000004	1.115181173620578
top10	dsfaces	GFoV	faces	2.64	1.3061571864943768
top10	dsfaces	GFoV	faces_e	2.64	1.3061571864943768
top10	dsfaces	GFoV	cd	1.694	0.8381175280005584
top10	dsfaces	GFoV	linksum	2.7460000000000004	1.3586013765581664
top10	dsfaces	GFoV	bafrec	2.8819999999999997	1.4258882619230278
top10	dsfaces	GFoV	kafca	1.9780000000000002	0.9786283768507112
top10	dsfaces	GFoV	mpsum	2.5340000000000003	1.2537129964305875
top10	dsfaces	GFoV	esa	1.8099999999999996	0.8955092831647051
top10	dsfaces	GFoV	deeplens	2.252	1.1141916606005062
	dsfaces	IoPV	desc	6.4383501860919985
top10	dsfaces	IoPV	gold	6.315849346752348	0.9809732562226462
top10	dsfaces	IoPV	relin	7.39154807839687	1.1480500228713795
top10	dsfaces	IoPV	diversum	6.297278668890399	0.9780888716636849
top10	dsfaces	IoPV	faces	6.017128474659834	0.9345761415180429
top10	dsfaces	IoPV	faces_e	6.017128474659834	0.9345761415180429
top10	dsfaces	IoPV	cd	6.7560285003819445	1.04934157122677
top10	dsfaces	IoPV	linksum	5.752841464127465	0.8935272698516219
top10	dsfaces	IoPV	bafrec	5.738315568587955	0.8912711180239552
top10	dsfaces	IoPV	kafca	6.411023525349128	0.9957556423690807
top10	dsfaces	IoPV	mpsum	6.144452352714104	0.9543519962594196
top10	dsfaces	IoPV	esa	6.561981636057972	1.01920234942067
top10	dsfaces	IoPV	deeplens	6.150397057426357	0.9552753235933528
